Year,Nominal Average Weekly Wages,Real Average Weekly Wages
1934,1.92358168,93.68181019
1935,1.954607191,94.53108949
1936,2.006316376,96.35741009
1937,2.05802556,95.59076256
1938,2.140760256,97.86772371
1939,2.16144393,96.12189257
1940,2.78195415,105.9218273
1941,3.040500074,104.4818261
1942,3.423148043,109.8327726
1943,3.764428663,116.8112841
1944,3.826479685,115.6151361
1945,3.805796011,111.8581609
1946,3.960923566,112.9171647
1947,4.260836839,113.5205873
1948,4.643484807,114.8703782
1949,4.83997971,116.4701
1950,5.067500124,117.3469552
1951,5.563908299,118.1498711
1952,6.018949127,115.5107149
1953,6.380913421,118.173448
1954,6.794586901,123.015204
1955,7.373729772,127.0577323
1956,7.973556317,130.6483897
1957,8.407913471,132.6682435
1958,8.697484906,133.3985756
1959,8.935347157,136.2302476
1960,9.452439006,142.978069
1961,10.11431657,148.1722398
1962,10.46593903,147.1455552
1963,10.91063802,150.233528
1964,11.84059137,157.9390989
1965,12.64049209,161.7239429
1966,13.4525881,165.4942258
1967,13.95851185,167.9500089
1968,15.13764121,175.1373889
1969,16.3042877,179.3114398
1970,18.37266973,189.6936904
1971,20.57686127,194.1704613
1972,23.17412506,204.0085889
1973,26.53173689,213.6026197
1974,31.55244439,219.4938027
1975,40.68831521,230.681429
1976,47.4017421,232.3614809
1977,52.12627159,222.3032171
1978,59.04101524,234.2861809
1979,68.91862136,245.5566349
1980,83.71787346,259.0317587
1981,95.25591726,263.6010264
1982,104.4889329,267.4578927
1983,113.5464485,276.9736169
1984,120.6299567,282.2347804
1985,131.373276,292.9507884
1986,141.8172727,306.0601976
1987,153.0466509,320.0376231
1988,167.1209607,336.8073351
1989,183.1375043,350.7171424
1990,202.4695124,362.4653118
1991,218.224667,363.3041071
1992,231.309294,369.3476843
1993,238.2056602,371.0589985
1994,247.1860037,377.5775719
1995,255.2547649,379.813083
1996,264.5184696,384.3711641
1997,276.1932072,394.1441195
1998,290.567621,408.2984325
1999,303.8625416,421.3811908
2000,317.4166667,436.6992462
2001,334.0833333,454.028612
2002,344.5833333,462.4762331
2003,355.6666667,470.9392524
2004,371.25,485.0563449
2005,388.4166667,497.2571378
2006,406.75,508.877467
2007,426.6666667,521.6771104
2008,441.75,521.3409507
2009,441.4166667,509.9064514
2010,451.3333333,504.7153986
2011,462.0833333,494.6569025
2012,468.3333333,487.5581577
2013,473.9166667,481.0331513
2014,479.8333333,480.0253434
2015,491.5833333,491.5833333
